Date,City,Country,Cause of Death
9/18/2016,Dickenson Bay -  St. John,Antigua & Barbuda,Drowning
12/19/2016,Five Islands -  St. John,Antigua & Barbuda,Drowning
3/4/2003,Rio Chimehuin -  Junin De Los Andes -  Argentina,Argentina,Drowning
3/9/2003,Gualeguaychu -  Entre Rios -  Argentina,Argentina,Other Accident
6/3/2003,Vicente Lopez -  Buenos Aires -  Argentina,Argentina,Homicide
8/27/2003,Buenos Aires -  Argentina,Argentina,Veh. Accident-Auto
2/4/2004,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Argentina,Other Accident
9/14/2004,Valle De Las Lenas -  Mendoza -  Argentina,Argentina,Other Accident
7/23/2005,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Argentina,Veh. Accident-Auto
10/17/2005,Cerro Mercedario -  San Juan -  Argentina,Argentina,Other Accident
12/2/2005,Rosario -  Santa Fe -  Argentina,Argentina,Train Accident
1/22/2006,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Argentina,Other Accident
3/6/2006,Tunuyan -  Mendoza -  Argentina,Argentina,Veh. Accident-Auto
4/23/2006,San Luis -  Argentina,Argentina,Veh. Accident-Auto
1/9/2007,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Argentina,Drowning - River
4/6/2007,Buenos Aires -  Argentina,Argentina,Other Accident
10/10/2007,Provincial Route 6 -  Hernando -  Cordoba -  Argentina,Argentina,Veh. Accid-Auto
10/12/2007,Buenos Aires -  Argentina,Argentina,Other Accident
12/3/2007,Buenos Aires -  Argentina,Argentina,Suicide
6/21/2008,Sanmartin And Catamarca -  Salta -  Argentina,Argentina,Veh. Accident-Auto
7/16/2008,Rodriguez -  Argentina,Argentina,Drowning
1/2/2009,Buenos Aires -  Argentina,Argentina,Suicide
1/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Argentina,Veh. Accid-Auto
1/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Argentina,Veh. Accid-Auto
3/8/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Argentina,Other Accident
3/8/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Argentina,Other Accident
4/13/2009,Cordoba -  Argentina,Argentina,Suicide
